state,district,forecast_period,forecast_severity_score,forecast_risk_category,forecast_enrol,forecast_demo,forecast_bio,current_trend
100000,100000,2_weeks_ahead,21.86227956839091,Stable,48,0,0,accelerating_up
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2_weeks_ahead,20.418823242332728,Stable,1,18,62,stable
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2_weeks_ahead,35.12012338851756,Stable,10,68,70,accelerating_up
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2_weeks_ahead,37.7177782268906,Stable,20,288,252,stable
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2_weeks_ahead,44.59397493029931,Stable,116,558,917,accelerating_down
ANDHRA PRADESH,ANAKAPALLI,2_weeks_ahead,54.80469161078182,Stable,155,1521,1555,accelerating_down
ANDHRA PRADESH,ANANTAPUR,2_weeks_ahead,69.24804073678092,Watchlist,298,3336,2659,accelerating_down
ANDHRA PRADESH,ANNAMAYYA,2_weeks_ahead,49.895011183366925,Stable,117,1467,996,accelerating_down
ANDHRA PRADESH,BAPATLA,2_weeks_ahead,55.739680660395415,Watchlist,148,1774,1525,accelerating_down
ANDHRA PRADESH,CHITTOOR,2_weeks_ahead,64.71725576633432,Watchlist,219,2995,2208,accelerating_down
ANDHRA PRADESH,EAST GODAVARI,2_weeks_ahead,54.73746698513916,Stable,113,1914,1578,accelerating_down
ANDHRA PRADESH,ELURU,2_weeks_ahead,58.8766561337387,Watchlist,177,2028,1798,accelerating_down
ANDHRA PRADESH,GUNTUR,2_weeks_ahead,65.87835465348533,Watchlist,247,2595,2573,accelerating_down
ANDHRA PRADESH,KAKINADA,2_weeks_ahead,58.98269634557241,Watchlist,171,2109,1912,accelerating_down
ANDHRA PRADESH,KONASEEMA,2_weeks_ahead,57.27728330293116,Watchlist,142,1955,1838,accelerating_down
ANDHRA PRADESH,KRISHNA,2_weeks_ahead,54.24766495661605,Stable,134,1687,1336,accelerating_down
ANDHRA PRADESH,KURNOOL,2_weeks_ahead,68.85839119271323,Watchlist,354,2607,2683,accelerating_down
ANDHRA PRADESH,NANDYAL,2_weeks_ahead,64.60356635113378,Watchlist,274,2075,2413,accelerating_down
ANDHRA PRADESH,NTR,2_weeks_ahead,61.02154139918112,Watchlist,203,2380,1917,accelerating_down
ANDHRA PRADESH,PALNADU,2_weeks_ahead,64.22034872400008,Watchlist,327,2049,1866,accelerating_down
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2_weeks_ahead,46.354306047755195,Stable,83,954,1144,accelerating_down
ANDHRA PRADESH,PRAKASAM,2_weeks_ahead,67.65359672811209,Watchlist,267,3180,2515,accelerating_down
ANDHRA PRADESH,SPSR NELLORE,2_weeks_ahead,64.72918472569557,Watchlist,241,2754,2072,accelerating_down
ANDHRA PRADESH,SRI SATHYA SAI,2_weeks_ahead,58.636345216234886,Watchlist,187,2256,1461,accelerating_down
ANDHRA PRADESH,SRIKAKULAM,2_weeks_ahead,63.35138537514069,Watchlist,183,3084,2518,accelerating_down
ANDHRA PRADESH,TIRUPATI,2_weeks_ahead,60.87841569056027,Watchlist,228,2013,1620,accelerating_down
ANDHRA PRADESH,VISAKHAPATANAM,2_weeks_ahead,70.15403758654519,Emerging_Risk,288,3529,3121,accelerating_down
ANDHRA PRADESH,VIZIANAGARAM,2_weeks_ahead,58.28634388387952,Watchlist,138,1967,2344,accelerating_down
ANDHRA PRADESH,WEST GODAVARI,2_weeks_ahead,64.93995930260388,Watchlist,200,2923,2623,accelerating_down
ANDHRA PRADESH,Y.S.R.,2_weeks_ahead,72.37905805351696,Emerging_Risk,370,3790,3232,accelerating_down
ARUNACHAL PRADESH,ANJAW,2_weeks_ahead,20.64269578441873,Stable,0,29,29,accelerating_up
ARUNACHAL PRADESH,CHANGLANG,2_weeks_ahead,33.01231786449192,Stable,5,86,85,rising
ARUNACHAL PRADESH,DIBANG VALLEY,2_weeks_ahead,30.030848323739786,Stable,4,35,38,accelerating_up
ARUNACHAL PRADESH,EAST KAMENG,2_weeks_ahead,28.295779132219874,Stable,5,33,36,rising
ARUNACHAL PRADESH,EAST SIANG,2_weeks_ahead,34.97934570282711,Stable,4,117,80,accelerating_up
ARUNACHAL PRADESH,KURUNG KUMEY,2_weeks_ahead,25.36236700172046,Stable,3,16,29,accelerating_up
ARUNACHAL PRADESH,LEPARADA,2_weeks_ahead,22.488926398448307,Stable,2,18,12,accelerating_up
ARUNACHAL PRADESH,LOHIT,2_weeks_ahead,33.67321074804051,Stable,10,61,43,accelerating_up
ARUNACHAL PRADESH,LONGDING,2_weeks_ahead,25.373394059847648,Stable,2,47,27,rising
ARUNACHAL PRADESH,LOWER SIANG,2_weeks_ahead,18.565186320952,Stable,0,23,8,rising
ARUNACHAL PRADESH,LOWER SUBANSIRI,2_weeks_ahead,26.08708357104675,Stable,2,52,38,accelerating_up
ARUNACHAL PRADESH,NAMSAI,2_weeks_ahead,34.03055122897206,Stable,19,133,149,stable
ARUNACHAL PRADESH,PAKKE KESSANG,2_weeks_ahead,13.528591662292829,Stable,0,6,6,stable
ARUNACHAL PRADESH,PAPUM PARE,2_weeks_ahead,36.6650604642771,Stable,12,117,103,rising
ARUNACHAL PRADESH,SHI YOMI,2_weeks_ahead,18.30796906140778,Stable,0,14,17,accelerating_up
ARUNACHAL PRADESH,TAWANG,2_weeks_ahead,29.586082542197477,Stable,4,44,71,rising
ARUNACHAL PRADESH,TIRAP,2_weeks_ahead,23.54704389152511,Stable,1,45,26,accelerating_up
ARUNACHAL PRADESH,UPPER SIANG,2_weeks_ahead,23.89898727032962,Stable,0,26,27,accelerating_up
ARUNACHAL PRADESH,UPPER SUBANSIRI,2_weeks_ahead,28.397238530519715,Stable,5,51,80,accelerating_up
ARUNACHAL PRADESH,WEST KAMENG,2_weeks_ahead,30.208908021151725,Stable,5,71,168,stable
ARUNACHAL PRADESH,WEST SIANG,2_weeks_ahead,29.877179819192456,Stable,4,57,47,rising
ASSAM,BAJALI,2_weeks_ahead,40.41732002037555,Stable,16,240,149,rising
ASSAM,BAKSA,2_weeks_ahead,44.42090422260278,Stable,122,928,451,declining
ASSAM,BARPETA,2_weeks_ahead,62.96216282172775,Watchlist,268,2733,1597,accelerating_down
ASSAM,BISWANATH,2_weeks_ahead,46.19303059085632,Stable,81,823,362,stable
ASSAM,BONGAIGAON,2_weeks_ahead,42.917827871911115,Stable,80,917,666,accelerating_down
ASSAM,CACHAR,2_weeks_ahead,62.92506643778626,Watchlist,257,2165,1638,accelerating_down
ASSAM,CHARAIDEO,2_weeks_ahead,39.97293965912798,Stable,40,385,151,stable
ASSAM,CHIRANG,2_weeks_ahead,44.582059890635854,Stable,93,949,764,accelerating_down
ASSAM,DARRANG,2_weeks_ahead,49.723284245551625,Stable,239,1031,593,accelerating_down
ASSAM,DHEMAJI,2_weeks_ahead,48.01817152005896,Stable,116,676,423,stable
ASSAM,DHUBRI,2_weeks_ahead,65.8368083440268,Watchlist,331,3618,1405,accelerating_down
ASSAM,DIBRUGARH,2_weeks_ahead,42.163647563153155,Stable,101,879,336,declining
ASSAM,DIMA HASAO,2_weeks_ahead,35.25113282742044,Stable,20,166,97,stable
ASSAM,GOALPARA,2_weeks_ahead,49.448974863095856,Stable,179,1238,691,accelerating_down
ASSAM,GOLAGHAT,2_weeks_ahead,45.40243809054329,Stable,137,896,642,accelerating_down
ASSAM,HAILAKANDI,2_weeks_ahead,52.32897839527958,Stable,139,1004,695,stable
ASSAM,HOJAI,2_weeks_ahead,52.710631749826604,Stable,151,1398,1124,accelerating_down
ASSAM,JORHAT,2_weeks_ahead,44.55283446914028,Stable,91,618,301,stable
ASSAM,KAMRUP,2_weeks_ahead,54.98756500853268,Stable,229,1856,758,accelerating_down
ASSAM,KAMRUP METRO,2_weeks_ahead,46.992861699279885,Stable,148,1220,516,accelerating_down
ASSAM,KARBI ANGLONG,2_weeks_ahead,47.23061773339269,Stable,92,642,712,stable
ASSAM,KARIMGANJ,2_weeks_ahead,67.2320662319332,Watchlist,386,2710,1667,accelerating_down
ASSAM,KOKRAJHAR,2_weeks_ahead,45.58302820300778,Stable,101,1263,501,accelerating_down
ASSAM,LAKHIMPUR,2_weeks_ahead,51.55989004817348,Stable,209,1151,993,accelerating_down
ASSAM,MAJULI,2_weeks_ahead,39.341996218918254,Stable,22,199,74,rising
ASSAM,MARIGAON,2_weeks_ahead,54.53908633392875,Stable,222,2172,730,accelerating_down
ASSAM,NAGAON,2_weeks_ahead,71.46282383010443,Emerging_Risk,359,4118,3965,accelerating_down
ASSAM,NALBARI,2_weeks_ahead,48.50450192067121,Stable,116,908,404,stable
ASSAM,SIVASAGAR,2_weeks_ahead,45.35235213185442,Stable,35,467,325,rising
ASSAM,SONITPUR,2_weeks_ahead,55.17147631961216,Watchlist,345,1583,584,accelerating_down
ASSAM,SOUTH SALMARA MANCACHAR,2_weeks_ahead,40.47344249163519,Stable,55,1100,293,declining
ASSAM,TINSUKIA,2_weeks_ahead,53.80393296660845,Stable,278,1559,453,accelerating_down
ASSAM,UDALGURI,2_weeks_ahead,46.298649551746834,Stable,125,1097,672,accelerating_down
ASSAM,WEST KARBI ANGLONG,2_weeks_ahead,44.41612048820196,Stable,37,306,319,rising
Andhra Pradesh,Alluri Sitharama Raju,2_weeks_ahead,30.768087913226967,Stable,6,36,20,accelerating_up
Andhra Pradesh,Bapatla,2_weeks_ahead,14.807473919879744,Stable,0,12,6,stable
Andhra Pradesh,Chittoor,2_weeks_ahead,7.84300539034799,Stable,0,1,1,accelerating_down
Andhra Pradesh,East Godavari,2_weeks_ahead,34.863358540590276,Stable,18,102,139,stable
Andhra Pradesh,Eluru,2_weeks_ahead,15.904262860791901,Stable,0,18,5,stable
Andhra Pradesh,Hyderabad,2_weeks_ahead,14.63388823773904,Stable,0,9,13,stable
Andhra Pradesh,Khammam,2_weeks_ahead,18.02247073191308,Stable,1,10,13,stable
Andhra Pradesh,Krishna,2_weeks_ahead,22.722578035811512,Stable,1,29,30,stable
Andhra Pradesh,Kurnool,2_weeks_ahead,33.03631532235276,Stable,5,71,131,rising
Andhra Pradesh,Mahbubnagar,2_weeks_ahead,3.4519915471336593,Stable,0,0,0,stable
Andhra Pradesh,Nalgonda,2_weeks_ahead,22.459306497690743,Stable,0,18,12,accelerating_up
Andhra Pradesh,Nellore,2_weeks_ahead,30.279996102813737,Stable,3,37,41,accelerating_up
Andhra Pradesh,Prakasam,2_weeks_ahead,29.999611474221282,Stable,3,34,38,accelerating_up
Andhra Pradesh,Rangareddi,2_weeks_ahead,15.389671277028846,Stable,0,11,11,stable
Andhra Pradesh,Sri Potti Sriramulu Nellore,2_weeks_ahead,11.632961575908572,Stable,0,5,3,stable
Andhra Pradesh,Warangal,2_weeks_ahead,21.394332649900598,Stable,0,44,38,stable
Andhra Pradesh,West Godavari,2_weeks_ahead,26.46246065710933,Stable,2,13,27,accelerating_up
Arunachal Pradesh,Kamle,2_weeks_ahead,11.742487016347264,Stable,0,2,2,rising
Arunachal Pradesh,Longding,2_weeks_ahead,12.285981354142113,Stable,0,6,7,stable
Arunachal Pradesh,Tirap,2_weeks_ahead,19.27531097367161,Stable,1,13,13,accelerating_up
Arunachal Pradesh,Upper Siang,2_weeks_ahead,18.038586777010014,Stable,0,13,26,rising
Arunachal Pradesh,West Siang,2_weeks_ahead,10.284697341873786,Stable,0,1,3,stable
Assam,Cachar,2_weeks_ahead,9.158120273216376,Stable,0,2,2,stable
Assam,Dhemaji,2_weeks_ahead,36.356109219748745,Stable,21,78,49,accelerating_up
Assam,Dibrugarh,2_weeks_ahead,21.183511865610622,Stable,1,14,3,accelerating_up
Assam,Goalpara,2_weeks_ahead,30.491344881703903,Stable,5,51,30,accelerating_up
Assam,Jorhat,2_weeks_ahead,5.9851698901942,Stable,0,1,2,stable
Assam,Lakhimpur,2_weeks_ahead,17.984704896889433,Stable,1,8,12,accelerating_up
Assam,Sonitpur,2_weeks_ahead,6.952405599008377,Stable,0,1,0,accelerating_down
BIHAR,ARARIA,2_weeks_ahead,77.74404841742408,Emerging_Risk,675,5124,3271,accelerating_down
BIHAR,ARWAL,2_weeks_ahead,53.9859192760705,Stable,209,1551,825,accelerating_down
BIHAR,AURANGABAD,2_weeks_ahead,71.38536212541601,Emerging_Risk,487,3659,1937,accelerating_down
BIHAR,BANKA,2_weeks_ahead,72.73701422476371,Emerging_Risk,560,3618,2039,accelerating_down
BIHAR,BEGUSARAI,2_weeks_ahead,77.10473557548464,Emerging_Risk,747,4779,2992,accelerating_down
BIHAR,BHAGALPUR,2_weeks_ahead,75.24480486915762,Emerging_Risk,543,4390,2803,accelerating_down
BIHAR,BHOJPUR,2_weeks_ahead,73.42735048653034,Emerging_Risk,676,4374,2029,accelerating_down
BIHAR,BUXAR,2_weeks_ahead,63.00088254196832,Watchlist,318,2673,1154,accelerating_down
BIHAR,DARBHANGA,2_weeks_ahead,79.30040930677842,Emerging_Risk,735,5815,4865,accelerating_down
BIHAR,GAYA,2_weeks_ahead,78.86025513410499,Emerging_Risk,1078,6162,3442,accelerating_down
BIHAR,GOPALGANJ,2_weeks_ahead,73.45175773945438,Emerging_Risk,534,4392,2396,accelerating_down
BIHAR,JAMUI,2_weeks_ahead,65.0848701656812,Watchlist,296,2096,2729,accelerating_down
BIHAR,JEHANABAD,2_weeks_ahead,59.92446920393166,Watchlist,158,1135,648,rising
BIHAR,KAIMUR (BHABUA),2_weeks_ahead,60.88368079312238,Watchlist,228,2536,1208,accelerating_down
BIHAR,KATIHAR,2_weeks_ahead,79.30594881151845,Emerging_Risk,707,5728,4562,accelerating_down
BIHAR,KHAGARIA,2_weeks_ahead,69.96045230227932,Watchlist,492,2778,2066,accelerating_down
BIHAR,KISHANGANJ,2_weeks_ahead,70.89739417790949,Emerging_Risk,320,2880,3920,accelerating_down
BIHAR,LAKHISARAI,2_weeks_ahead,53.86084064005794,Stable,178,1592,967,accelerating_down
BIHAR,MADHEPURA,2_weeks_ahead,71.1847208817784,Emerging_Risk,461,2883,2397,accelerating_down
BIHAR,MADHUBANI,2_weeks_ahead,80.93657321267993,Emerging_Risk,954,6284,5679,accelerating_down
BIHAR,MUNGER,2_weeks_ahead,56.700688246913565,Watchlist,200,1810,1019,accelerating_down
BIHAR,MUZAFFARPUR,2_weeks_ahead,79.73814599571082,Emerging_Risk,780,7242,3961,accelerating_down
BIHAR,NALANDA,2_weeks_ahead,71.18875301679589,Emerging_Risk,472,4275,2292,accelerating_down
BIHAR,NAWADA,2_weeks_ahead,69.90633794096232,Watchlist,525,3585,1966,accelerating_down
BIHAR,PASHCHIM CHAMPARAN,2_weeks_ahead,80.27606879250665,Emerging_Risk,1039,7492,4165,accelerating_down
BIHAR,PATNA,2_weeks_ahead,80.27777934837214,Emerging_Risk,900,9388,3853,accelerating_down
BIHAR,PURBI CHAMPARAN,2_weeks_ahead,80.96639074037346,Emerging_Risk,1084,9044,4678,accelerating_down
BIHAR,PURNIA,2_weeks_ahead,78.6320783769418,Emerging_Risk,705,5322,3974,accelerating_down
BIHAR,ROHTAS,2_weeks_ahead,72.45631353776145,Emerging_Risk,449,4753,2268,accelerating_down
BIHAR,SAHARSA,2_weeks_ahead,71.4501849169463,Emerging_Risk,512,2518,2521,accelerating_down
BIHAR,SAMASTIPUR,2_weeks_ahead,80.12200297995042,Emerging_Risk,981,7094,3837,accelerating_down
BIHAR,SARAN,2_weeks_ahead,79.43397292625912,Emerging_Risk,1051,6544,3529,accelerating_down
BIHAR,SHEIKHPURA,2_weeks_ahead,55.96670405383435,Watchlist,154,1022,935,stable
BIHAR,SHEOHAR,2_weeks_ahead,56.546987304027205,Watchlist,169,659,534,rising
BIHAR,SITAMARHI,2_weeks_ahead,79.65270523970044,Emerging_Risk,906,6324,4157,accelerating_down
BIHAR,SIWAN,2_weeks_ahead,75.88670712256611,Emerging_Risk,576,5348,2819,accelerating_down
BIHAR,SUPAUL,2_weeks_ahead,72.94250856261095,Emerging_Risk,523,3124,2633,accelerating_down
BIHAR,VAISHALI,2_weeks_ahead,78.90140360315148,Emerging_Risk,788,5828,3614,accelerating_down
Bihar,Arwal,2_weeks_ahead,17.216978494144627,Stable,0,4,3,accelerating_up
Bihar,Aurangabad,2_weeks_ahead,29.751698945481383,Stable,3,78,27,rising
Bihar,Banka,2_weeks_ahead,41.27070051049384,Stable,26,220,99,accelerating_up
Bihar,Begusarai,2_weeks_ahead,37.7213361185095,Stable,16,110,62,accelerating_up
Bihar,Bhagalpur,2_weeks_ahead,41.6832502630689,Stable,22,260,136,accelerating_up
Bihar,Bhojpur,2_weeks_ahead,28.488659810753933,Stable,5,24,18,accelerating_up
Bihar,East Champaran,2_weeks_ahead,16.052797862716822,Stable,0,22,7,stable
Bihar,Gaya,2_weeks_ahead,4.621511730885714,Stable,0,2,0,stable
Bihar,Jamui,2_weeks_ahead,40.44746832037812,Stable,17,189,166,accelerating_up
Bihar,Jehanabad,2_weeks_ahead,32.70938148626743,Stable,6,68,28,accelerating_up
Bihar,Khagaria,2_weeks_ahead,27.22141768190405,Stable,3,17,27,accelerating_up
Bihar,Kishanganj,2_weeks_ahead,40.637967976028605,Stable,33,231,537,stable
Bihar,Lakhisarai,2_weeks_ahead,32.58809832967907,Stable,12,57,23,accelerating_up
Bihar,Madhepura,2_weeks_ahead,48.8469133628168,Stable,92,342,298,accelerating_up
Bihar,Munger,2_weeks_ahead,41.72289917390175,Stable,20,236,154,accelerating_up
Bihar,Muzaffarpur,2_weeks_ahead,41.66200423796263,Stable,28,246,128,accelerating_up
Bihar,Nalanda,2_weeks_ahead,23.366266003851276,Stable,1,16,14,accelerating_up
Bihar,Nawada,2_weeks_ahead,16.96072811991524,Stable,1,10,8,rising
Bihar,Patna,2_weeks_ahead,43.07808288212702,Stable,32,384,144,accelerating_up
Bihar,Purnea,2_weeks_ahead,3.790700956569852,Stable,0,0,0,stable
Bihar,Purnia,2_weeks_ahead,42.722972817195995,Stable,33,220,203,accelerating_up
Bihar,Saharsa,2_weeks_ahead,31.738804086401306,Stable,13,28,20,accelerating_up
Bihar,Samastipur,2_weeks_ahead,33.79828034455438,Stable,8,83,37,accelerating_up
Bihar,Saran,2_weeks_ahead,31.14237275336296,Stable,5,47,31,accelerating_up
Bihar,Sheikhpura,2_weeks_ahead,14.650616028625294,Stable,0,14,11,accelerating_down
Bihar,Sitamarhi,2_weeks_ahead,22.95895070039697,Stable,2,9,18,accelerating_up
Bihar,Vaishali,2_weeks_ahead,36.446752942046814,Stable,17,88,57,accelerating_up
Bihar,West Champaran,2_weeks_ahead,28.719993965674774,Stable,3,36,20,accelerating_up
CHANDIGARH,CHANDIGARH,2_weeks_ahead,51.12344013983165,Stable,131,1834,685,accelerating_down
CHHATTISGARH,BALOD,2_weeks_ahead,56.74312707263763,Watchlist,91,1618,3014,accelerating_down
CHHATTISGARH,BALODA BAZAR,2_weeks_ahead,68.42660591478307,Watchlist,199,3939,4701,accelerating_down
CHHATTISGARH,BALRAMPUR,2_weeks_ahead,63.3506127739183,Watchlist,220,1855,2703,accelerating_down
CHHATTISGARH,BASTAR,2_weeks_ahead,54.612486216923024,Stable,155,454,552,rising
CHHATTISGARH,BEMETARA,2_weeks_ahead,60.5726569924149,Watchlist,130,1895,4008,accelerating_down
CHHATTISGARH,BIJAPUR,2_weeks_ahead,42.254449085720715,Stable,50,165,147,accelerating_up
CHHATTISGARH,BILASPUR,2_weeks_ahead,70.29120036730627,Emerging_Risk,242,3613,5663,accelerating_down
CHHATTISGARH,DANTEWADA,2_weeks_ahead,50.5957610168078,Stable,122,437,1188,stable
CHHATTISGARH,DHAMTARI,2_weeks_ahead,51.55666683331584,Stable,80,1134,2461,accelerating_down
CHHATTISGARH,DURG,2_weeks_ahead,67.85367130601361,Watchlist,209,2847,5913,accelerating_down
CHHATTISGARH,GARIYABAND,2_weeks_ahead,50.77200007739221,Stable,70,1306,2133,accelerating_down
CHHATTISGARH,GAURELLA PENDRA MARWAHI,2_weeks_ahead,47.55872992537931,Stable,45,1681,1095,accelerating_down
CHHATTISGARH,JANJGIR-CHAMPA,2_weeks_ahead,71.09993207279093,Emerging_Risk,224,4762,5373,accelerating_down
CHHATTISGARH,JASHPUR,2_weeks_ahead,58.19151854576014,Watchlist,143,2035,2252,accelerating_down
CHHATTISGARH,KABIRDHAM,2_weeks_ahead,63.38283561237652,Watchlist,147,2578,4314,accelerating_down
CHHATTISGARH,KANKER,2_weeks_ahead,48.591004054434364,Stable,82,1270,1363,accelerating_down
CHHATTISGARH,KONDAGAON,2_weeks_ahead,61.56573527173257,Watchlist,229,1994,2159,accelerating_down
CHHATTISGARH,KORBA,2_weeks_ahead,62.27991197858162,Watchlist,162,2472,2830,accelerating_down
CHHATTISGARH,KOREA,2_weeks_ahead,56.221926506275054,Watchlist,104,1818,2377,accelerating_down
CHHATTISGARH,MAHASAMUND,2_weeks_ahead,62.085469617265346,Watchlist,121,2894,3151,accelerating_down
CHHATTISGARH,MUNGELI,2_weeks_ahead,64.13183781617616,Watchlist,149,2564,3916,accelerating_down
CHHATTISGARH,NARAYANPUR,2_weeks_ahead,43.17227368477472,Stable,43,366,777,stable
CHHATTISGARH,RAIGARH,2_weeks_ahead,66.67114357981964,Watchlist,149,4171,4998,accelerating_down
CHHATTISGARH,RAIPUR,2_weeks_ahead,80.74761188971961,Emerging_Risk,972,7636,13109,accelerating_down
CHHATTISGARH,RAJNANDGAON,2_weeks_ahead,69.18082490476414,Watchlist,217,4785,4455,accelerating_down
CHHATTISGARH,SUKMA,2_weeks_ahead,43.62938840506769,Stable,23,276,486,accelerating_up
CHHATTISGARH,SURAJPUR,2_weeks_ahead,58.50969153187505,Watchlist,146,1856,2444,accelerating_down
CHHATTISGARH,SURGUJA,2_weeks_ahead,65.16306017627984,Watchlist,141,3636,4105,accelerating_down
Chhattisgarh,Baloda Bazar,2_weeks_ahead,41.06349424024768,Stable,11,309,278,rising
Chhattisgarh,Bastar,2_weeks_ahead,36.63009107083996,Stable,14,97,92,accelerating_up
Chhattisgarh,Bilaspur,2_weeks_ahead,28.745567195748187,Stable,1,47,123,rising
Chhattisgarh,Dakshin Bastar Dantewada,2_weeks_ahead,32.22959764627382,Stable,8,48,39,accelerating_up
Chhattisgarh,Dantewada,2_weeks_ahead,18.45222727707955,Stable,1,6,15,accelerating_up
Chhattisgarh,Korba,2_weeks_ahead,32.839929966647425,Stable,5,74,128,rising
Chhattisgarh,Raipur,2_weeks_ahead,40.78646579657042,Stable,17,224,910,stable
Chhattisgarh,Sukma,2_weeks_ahead,45.27077850444307,Stable,47,325,444,accelerating_up
DELHI,CENTRAL,2_weeks_ahead,50.71022887003645,Stable,128,1402,1106,accelerating_down
DELHI,EAST,2_weeks_ahead,56.92557928030367,Watchlist,178,2330,1018,accelerating_down
DELHI,NEW DELHI,2_weeks_ahead,52.08961430541084,Stable,154,1379,1006,accelerating_down
DELHI,NORTH,2_weeks_ahead,70.02371460345347,Emerging_Risk,334,2728,3148,accelerating_down
DELHI,NORTH EAST,2_weeks_ahead,71.43503348921543,Emerging_Risk,336,3159,3571,accelerating_down
DELHI,NORTH WEST,2_weeks_ahead,72.60296258813969,Emerging_Risk,401,3659,3101,accelerating_down
